 ลำดับ, ชื่อท้องถิ่น, อำเภอ, จังหวัด, พื้นที่ (ตร.กม.), ปชก.ณ 30กันยายน62, ภาษีที่ดินและสิ่งปลูกสร้าง, ภาษีโรงเรือนและที่ดิน, ภาษีบำรุงท้องที่, ภาษีป้าย, อากรการฆ่าสัตว์, อากรรังนกอีแอ่น, ภาษีบำรุง อบจ. จากสถานค้าปลีกยาสูบ, ภาษีบำรุง อบจ. จากสถานค้าปลีกน้ำมัน, ค่าธรรมเนียมบำรุง อบจ. จากผู้เข้าพักโรงแรม, ค่าธรรมเนียม, ทรัพย์สิน, สาธารณูปโภค, เบ็ดเตล็ด, รวมรายได้จัดเก็บเอง, ภาษีและค่าธรรมเนียมรถยนต์หรือล้อเลื่อน, -  ภาษีมูลค่าเพิ่มที่จัดเก็บตามประมวลรัษฎากร 5%(อบจ),  - ภาษีมูลค่าเพิ่มตามกฎหมายท้องถิ่น,  - ภาษีมูลค่าเพิ่มตาม พ.ร.บ.กำหนดแผนฯ, ภาษีธุรกิจเฉพาะ, ภาษีสุรา, ภาษีสรรพสามิต, ภาษีการพนัน, ภาษียาสูบ, อากรประมง, ค่าภาคหลวงไม้, ค่าภาคหลวงแร่, ค่าภาคหลวงปิโตรเลียม, รายได้จากกฎหมายอุทยานแห่งชาติ, ค่าธรรมเนียมน้ำบาดาล, ค่าธรรมเนียมการจดทะเบียนสิทธิและนิติกรรมตามประมวลกฎหมายที่ดิน, ภาษีจัดสรรอื่น, รวมรายได้จากรัฐจัดสรร, เงินอุดหนุนทั่วไป, เงินอุดหนุนเฉพาะกิจ, รายได้จากเงินอุดหนุน, รวมรายได้ทั้งสิ้น
  618 , อบต.แวงน้อย, แวงน้อย, ขอนแก่น,  39.78 ,"  6,692.00 ","  12,380.37 ",  -   ,  -   ,"  32,448.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  147,488.30 ","  243,205.37 ",  -   ,"  156,949.00 ","  592,471.04 ","  642,385.33 ",  -   ,"  3,167,661.33 ","  8,713,503.11 ","  154,307.98 ",  -   ,"  5,045,757.95 ",  -   ,  -   ,  -   ,  -   ,"  52,074.06 ","  174,264.01 ",  -   ,  -   ,"  835,851.00 ",  -   ,"  18,785,804.77 ","  22,568,030.00 ",  -   ,"  22,568,030.00 ","  41,946,305.81 "
  619 , อบต.คอนฉิม, แวงใหญ่, ขอนแก่น,  44.25 ,"  4,687.00 ","  10,336.36 ",  -   ,  -   ,"  18,380.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  132,767.70 ","  94,032.96 ",  -   ,"  49,638.00 ","  305,155.02 ","  555,415.69 ",  -   ,"  2,221,793.51 ","  7,371,765.40 ","  108,231.94 ",  -   ,"  3,539,177.23 ",  -   ,  -   ,  -   ,"  1,530.00 ","  36,582.49 ","  122,272.10 ",  -   ,  540.00 ,"  387,343.00 ",  -   ,"  14,344,651.36 ","  16,618,384.00 ","  1,187,939.00 ","  17,806,323.00 ","  32,456,129.38 "
  620 , อบต.โนนทอง, แวงใหญ่, ขอนแก่น,  46.55 ,"  5,511.00 ",  -   ,  621.00 ,"  1,487.00 ","  5,790.00 ","  7,392.00 ",  -   ,  -   ,  -   ,  -   ,"  464,886.70 ","  201,474.34 ","  1,040,045.00 ","  217,730.00 ","  1,939,426.04 ","  591,522.08 ",  -   ,"  2,613,593.10 ","  8,323,338.24 ","  127,316.13 ",  -   ,"  4,162,971.06 ",  -   ,  -   ,  -   ,  -   ,"  42,827.33 ","  143,678.61 ",  -   ,  -   ,"  495,375.00 ",  -   ,"  16,500,621.55 ","  18,693,705.10 ","  20,247,076.00 ","  38,940,781.10 ","  57,380,828.69 "
  621 , อบต.โนนสะอาด, แวงใหญ่, ขอนแก่น,  53.25 ,"  6,041.00 ","  12,871.98 ",  -   ,"  1,275.60 ","  18,390.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  124,889.60 ","  188,548.89 ","  145,531.89 ","  278,650.00 ","  770,157.96 ","  615,272.80 ",  -   ,"  2,870,867.03 ","  8,511,111.94 ","  139,846.91 ",  -   ,"  4,572,447.70 ",  -   ,  -   ,  -   ,  20.00 ,"  46,840.22 ","  157,669.04 ",  -   ,  -   ,"  193,259.00 ",  -   ,"  17,107,334.64 ","  21,054,169.36 ","  3,033,085.00 ","  24,087,254.36 ","  41,964,746.96 "
  622 , อบต.ใหม่นาเพียง, แวงใหญ่, ขอนแก่น,  32.18 ,"  7,931.00 ","  21,394.66 ",  -   ,  -   ,"  25,532.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  363,911.00 ",  -   ,  -   ,"  287,380.99 ","  698,218.65 ","  699,186.32 ",  -   ,"  3,784,642.86 ","  9,137,195.01 ","  184,361.63 ",  -   ,"  6,028,255.29 ",  -   ,  -   ,  -   ,  -   ,"  30,587.08 ","  239,505.82 ",  -   ,  510.00 ,"  498,861.00 ","  1,309.50 ","  20,604,414.51 ","  27,062,010.00 ","  776,266.00 ","  27,838,276.00 ","  49,140,909.16 "
  623 , อบต.ซำยาง, สีชมพู, ขอนแก่น,  38.00 ,"  3,890.00 ","  2,438.92 ",  -   ,  -   ,"  4,062.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  6,783.80 ","  188,795.11 ","  232,495.00 ","  182,700.65 ","  617,275.48 ","  522,671.11 ",  -   ,"  1,865,742.53 ","  8,488,755.47 ","  90,887.74 ",  -   ,"  2,972,080.46 ",  -   ,  -   ,  -   ,  -   ,"  30,765.38 ","  102,711.68 ",  -   ,"  1,060.00 ","  347,228.00 ",  -   ,"  14,421,902.37 ","  13,076,933.00 ","  15,147.00 ","  13,092,080.00 ","  28,131,257.85 "
  624 , อบต.ดงลาน, สีชมพู, ขอนแก่น,  37.00 ,"  7,628.00 ","  22,846.00 ",  -   ,"  3,846.11 ","  11,736.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  58,331.00 ","  277,479.41 ",  -   ,"  161,541.53 ","  535,780.05 ","  685,957.44 ",  -   ,"  3,642,358.41 ","  9,049,452.13 ","  177,433.29 ",  -   ,"  5,802,100.19 ",  -   ,  -   ,  -   ,  -   ,"  1,507,789.02 ","  215,503.52 ",  -   ,  -   ,  -   ,  29.10 ,"  21,080,623.10 ","  25,637,426.00 ",  -   ,"  25,637,426.00 ","  47,253,829.15 "
  625 , อบต.บริบูรณ์, สีชมพู, ขอนแก่น,  48.00 ,"  7,249.00 ",  82.00 ,  -   ,  360.17 ,"  1,600.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  35,711.50 ","  267,521.44 ",  -   ,"  168,480.00 ","  473,755.11 ","  667,489.52 ",  -   ,"  3,440,431.59 ","  8,876,083.13 ","  150,365.18 ",  -   ,"  5,480,149.69 ",  -   ,  -   ,  -   ,  -   ,"  118,935.44 ","  149,928.79 ",  -   ,  -   ,"  345,599.00 ",  -   ,"  19,228,982.34 ","  23,399,824.00 ",  -   ,"  23,399,824.00 ","  43,102,561.45 "
  626 , อบต.บ้านใหม่, สีชมพู, ขอนแก่น,  18.71 ,"  5,635.00 ",  -   ,"  1,815.00 ","  11,559.86 ","  5,300.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  5,667.50 ","  207,051.12 ",  -   ,"  108,345.30 ","  339,738.78 ","  599,773.69 ",  -   ,"  2,702,523.12 ","  8,364,638.62 ","  131,646.74 ",  -   ,"  4,304,375.46 ",  -   ,  -   ,  -   ,  -   ,"  44,126.08 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  16,147,083.71 ","  15,858,171.00 ",  -   ,"  15,858,171.00 ","  32,344,993.49 "
  627 , อบต.ภูห่าน, สีชมพู, ขอนแก่น,  45.00 ,"  4,965.00 ","  8,063.15 ",  525.00 ,  242.00 ,"  12,104.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  14,317.00 ","  223,026.21 ",  -   ,"  179,960.00 ","  438,237.36 ","  567,640.36 ",  -   ,"  2,353,341.63 ","  7,439,723.28 ","  114,637.60 ",  -   ,"  3,748,286.90 ",  -   ,  -   ,  -   ,  -   ,"  38,464.50 ","  129,297.58 ",  -   ,"  1,500.00 ","  181,818.00 ",  -   ,"  14,574,709.85 ","  19,534,171.00 ","  183,537.85 ","  19,717,708.85 ","  34,730,656.06 "
  628 , อบต.ศรีสุข, สีชมพู, ขอนแก่น,  87.67 ,"  10,972.00 ",  -   ,"  1,538.00 ",  60.52 ,"  16,872.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  212,862.10 ","  343,257.89 ",  -   ,"  38,050.00 ","  612,640.51 ","  830,164.63 ",  -   ,"  5,210,104.02 ","  10,194,221.84 ","  253,801.79 ",  -   ,"  8,299,021.28 ",  -   ,  -   ,  -   ,  -   ,"  85,561.36 ","  286,558.86 ","  1,217.06 ",  -   ,"  1,237,100.00 ",  939.91 ,"  26,398,690.75 ","  36,509,497.00 ",  -   ,"  36,509,497.00 ","  63,520,828.26 "
  629 , อบต.สีชมพู, สีชมพู, ขอนแก่น,  52.81 ,"  8,996.00 ","  9,863.00 ",  -   ,  -   ,"  13,112.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  210,720.60 ","  537,970.67 ","  501,275.00 ","  185,416.66 ","  1,458,357.93 ","  743,456.98 ",  -   ,"  4,266,530.54 ","  9,515,267.54 ","  207,836.52 ",  -   ,"  6,795,928.95 ",  -   ,  -   ,  -   ,  -   ,"  69,999.80 ","  234,611.95 ",  -   ,  -   ,"  775,142.00 ",  -   ,"  22,608,774.28 ","  33,278,368.06 ",  -   ,"  33,278,368.06 ","  57,345,500.27 "
  630 , อบต.หนองแดง, สีชมพู, ขอนแก่น,  41.00 ,"  7,319.00 ","  10,016.03 ",  -   ,  -   ,"  8,752.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  18,199.40 ","  372,445.93 ",  -   ,"  157,639.00 ","  567,052.36 ","  669,934.44 ",  -   ,"  3,466,430.63 ","  8,927,504.07 ","  168,860.43 ",  -   ,"  5,521,383.89 ",  -   ,  -   ,  -   ,  -   ,"  56,802.41 ","  190,562.24 ",  -   ,  -   ,"  488,349.00 ",  -   ,"  19,489,827.11 ","  22,509,874.00 ","  28,539.00 ","  22,538,413.00 ","  42,595,292.47 "
  631 , อบต.กุดธาตุ, หนองนาคำ, ขอนแก่น,  68.00 ,"  11,893.00 ","  12,451.97 ",  -   ,"  2,458.25 ","  10,000.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  136,995.40 ","  560,161.54 ",  -   ,"  141,061.00 ","  863,128.16 ","  869,589.14 ",  -   ,"  5,638,915.39 ","  10,460,642.96 ","  274,690.54 ",  -   ,"  8,982,044.24 ",  -   ,  -   ,  -   ,  -   ,"  176,895.93 ","  225,830.52 ","  2,127.86 ",  -   ,"  970,035.00 ","  2,095.20 ","  27,602,866.78 ","  42,621,770.34 ","  364,845.20 ","  42,986,615.54 ","  71,452,610.48 "
  632 , อบต.จระเข้, หนองเรือ, ขอนแก่น,  30.00 ,"  6,587.00 ","  28,024.30 ",  50.00 ,  94.11 ,"  78,841.40 ","  11,200.00 ",  -   ,  -   ,  -   ,  -   ,"  22,775.00 ",  -   ,  -   ,"  230,500.00 ","  371,484.81 ","  637,189.86 ",  -   ,"  3,111,082.19 ","  8,666,746.98 ","  151,551.71 ",  -   ,"  4,955,616.47 ",  -   ,  -   ,  -   ,  -   ,"  51,133.06 ","  171,143.14 ",  -   ,  -   ,"  1,063,849.00 ","  2,822.70 ","  18,811,135.11 ","  20,017,573.00 ",  -   ,"  20,017,573.00 ","  39,200,192.92 "
  633 , อบต.โนนทัน, หนองเรือ, ขอนแก่น,  61.00 ,"  8,950.00 ","  90,330.31 ","  7,434.00 ",  143.29 ,"  62,018.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  292,849.40 ","  569,475.73 ",  -   ,"  172,375.51 ","  1,194,626.24 ","  742,234.52 ",  -   ,"  4,252,865.39 ","  9,473,792.64 ","  207,170.23 ",  -   ,"  6,774,052.45 ",  -   ,  -   ,  -   ,  -   ,"  144,438.59 ","  178,809.77 ","  4,210.00 ","  2,110.00 ","  1,211,479.00 ","  150,700.00 ","  23,141,862.59 ","  30,605,526.34 ","  64,015.00 ","  30,669,541.34 ","  55,006,030.17 "
  634 , อบต.บ้านกง, หนองเรือ, ขอนแก่น,  19.00 ,"  4,868.00 ","  15,183.29 ",  65.00 ,  -   ,"  22,844.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  24,715.49 ","  337,215.23 ",  -   ,"  240,513.00 ","  640,536.01 ","  565,632.02 ",  -   ,"  2,331,425.35 ","  7,375,344.29 ","  113,569.85 ",  -   ,"  3,713,356.47 ",  -   ,  -   ,  -   ,  -   ,"  38,091.21 ","  128,082.16 ",  -   ,"  1,570.00 ","  584,692.00 ",  -   ,"  14,851,763.35 ","  13,489,583.29 ","  2,210,829.87 ","  15,700,413.16 ","  31,192,712.52 "
  635 , อบต.บ้านเม็ง, หนองเรือ, ขอนแก่น,  85.00 ,"  11,720.00 ","  30,458.60 ","  6,700.00 ","  1,123.48 ","  42,132.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  338,402.70 ","  306,258.89 ",  -   ,"  142,248.00 ","  867,323.67 ","  863,258.52 ",  -   ,"  5,571,432.78 ","  10,468,714.78 ","  271,405.61 ",  -   ,"  8,874,967.22 ",  -   ,  -   ,  -   ,  -   ,"  91,751.76 ","  306,625.32 ","  9,436.40 ",  -   ,"  1,241,619.00 ",  -   ,"  27,699,211.39 ","  36,228,345.18 ","  321,452.00 ","  36,549,797.18 ","  65,116,332.24 "
  636 , อบต.หนองเรือ, หนองเรือ, ขอนแก่น,  72.00 ,"  6,821.00 ","  371,386.56 ",  -   ,  -   ,"  323,277.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  419,005.70 ","  193,136.62 ",  -   ,"  141,855.00 ","  1,448,660.88 ","  648,279.36 ",  -   ,"  3,229,877.94 ","  8,706,770.13 ","  157,335.46 ",  -   ,"  5,144,292.29 ",  -   ,  -   ,  -   ,"  1,510.00 ","  52,727.32 ","  177,408.43 ",  -   ,  -   ,"  1,217,013.00 ",  -   ,"  19,335,213.93 ","  22,039,622.33 ",  -   ,"  22,039,622.33 ","  42,823,497.14 "
  637 , อบต.คึมชาด, หนองสองห้อง, ขอนแก่น,  30.00 ,"  6,680.00 ","  12,728.70 ",  134.00 ,  137.00 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"  207,618.00 ","  153,245.05 ",  -   ,"  178,650.00 ","  552,512.75 ","  644,131.74 ",  -   ,"  3,185,064.61 ","  8,695,123.08 ","  155,152.98 ",  -   ,"  5,073,002.04 ",  -   ,  -   ,  -   ,  -   ,"  52,050.74 ","  174,988.30 ",  -   ,  50.00 ,"  657,946.00 ","  1,193.10 ","  18,638,702.59 ","  18,969,801.00 ",  -   ,"  18,969,801.00 ","  38,161,016.34 "
  638 , อบต.ดงเค็ง, หนองสองห้อง, ขอนแก่น,  19.38 ,"  6,540.00 ","  21,077.91 ","  8,280.00 ",  63.19 ,"  3,200.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  8,558.00 ","  17,205.56 ",  -   ,"  52,101.64 ","  110,486.30 ","  636,927.92 ",  -   ,"  3,106,421.30 ","  8,702,313.94 ","  307,489.97 ",  -   ,"  4,947,650.23 ",  -   ,  -   ,  -   ,  -   ,"  50,705.33 ","  170,622.29 ",  -   ,  -   ,"  527,131.00 ","  2,018.24 ","  18,451,280.22 ","  19,468,193.00 ","  25,263.00 ","  19,493,456.00 ","  38,055,222.52 "
  639 , อบต.ดอนดั่ง, หนองสองห้อง, ขอนแก่น,  29.00 ,"  4,576.00 ","  15,754.77 ",  -   ,  -   ,"  44,514.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  283,292.00 ","  215,578.74 ",  -   ,"  117,550.00 ","  676,689.51 ","  552,839.78 ",  -   ,"  2,191,781.53 ","  7,351,782.64 ","  106,766.49 ",  -   ,"  3,490,776.45 ",  -   ,  -   ,  -   ,  -   ,"  35,703.70 ","  120,330.67 ",  -   ,  -   ,"  471,668.00 ","  1,679.30 ","  14,323,328.56 ","  11,533,326.00 ",  -   ,"  11,533,326.00 ","  26,533,344.07 "
  640 , อบต.ดอนดู่, หนองสองห้อง, ขอนแก่น,  41.24 ,"  8,287.00 ","  4,400.26 ",  130.00 ,"  1,500.00 ","  5,512.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  34,388.60 ","  234,817.20 ",  -   ,"  257,459.06 ","  538,207.12 ","  714,467.09 ",  -   ,"  3,948,948.60 ","  9,258,749.02 ","  192,362.18 ",  -   ,"  6,289,397.49 ",  -   ,  -   ,  -   ,  -   ,"  64,353.78 ","  216,820.29 ",  -   ,  -   ,"  760,964.00 ",  -   ,"  21,446,062.45 ","  22,971,224.00 ",  -   ,"  22,971,224.00 ","  44,955,493.57 "
  641 , อบต.ตะกั่วป่า, หนองสองห้อง, ขอนแก่น,  30.00 ,"  5,813.00 ","  22,378.30 ",  264.00 ,  628.37 ,"  27,710.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  31,850.40 ","  78,204.13 ",  -   ,"  229,200.00 ","  390,235.20 ","  606,104.31 ",  -   ,"  2,772,926.97 ","  8,484,501.56 ","  135,079.04 ",  -   ,"  4,416,979.79 ",  -   ,  -   ,  -   ,  -   ,"  45,580.36 ","  152,544.88 ",  -   ,  -   ,"  895,198.00 ",  -   ,"  17,508,914.91 ","  17,058,425.00 ","  6,773,004.00 ","  23,831,429.00 ","  41,730,579.11 "
  642 , อบต.โนนธาตุ, หนองสองห้อง, ขอนแก่น,  27.45 ,"  5,537.00 ","  3,765.28 ","  4,600.00 ",  -   ,"  16,824.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  23,285.90 ","  1,335.00 ","  141,216.15 ","  167,870.00 ","  358,896.33 ","  592,919.18 ",  -   ,"  2,628,639.87 ","  8,346,422.03 ","  128,048.83 ",  -   ,"  4,186,893.30 ",  -   ,  -   ,  -   ,  -   ,"  43,045.09 ","  144,484.16 ",  -   ,  -   ,"  467,597.00 ",  -   ,"  16,538,049.46 ","  15,815,694.00 ",  -   ,"  15,815,694.00 ","  32,712,639.79 "
  643 , อบต.วังหิน, หนองสองห้อง, ขอนแก่น,  47.99 ,"  4,629.00 ","  27,285.91 ",  -   ,  -   ,"  2,220.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  156,165.07 ","  162,591.99 ","  310,508.00 ","  151,750.00 ","  810,520.97 ","  553,800.30 ",  -   ,"  2,202,227.89 ","  7,846,628.66 ","  107,275.34 ",  -   ,"  3,507,415.40 ",  -   ,  -   ,  -   ,  -   ,"  35,874.79 ","  120,904.90 ",  -   ,  -   ,"  234,769.00 ",  -   ,"  14,608,896.28 ","  12,821,137.00 ",  -   ,"  12,821,137.00 ","  28,240,554.25 "
  644 , อบต.สำโรง, หนองสองห้อง, ขอนแก่น,  30.03 ,"  5,752.00 ","  1,091.62 ",  15.00 ,  339.81 ,"  2,448.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  189,349.90 ","  173,245.39 ","  38,733.00 ","  192,900.00 ","  598,122.72 ","  602,960.84 ",  -   ,"  2,737,851.52 ","  8,413,859.30 ","  133,368.86 ",  -   ,"  4,360,845.90 ",  -   ,  -   ,  -   ,  -   ,"  44,833.77 ","  150,487.22 ",  -   ,  -   ,"  411,357.00 ",  -   ,"  16,855,564.41 ","  17,551,229.00 ","  22,401.00 ","  17,573,630.00 ","  35,027,317.13 "
  645 , อบต.หนองไผ่ล้อม, หนองสองห้อง, ขอนแก่น,  16.00 ,"  4,583.00 ",  -   ,  -   ,  -   ,"  12,202.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  113,575.15 ","  74,392.91 ",  -   ,"  47,900.00 ","  248,070.06 ","  550,700.48 ",  -   ,"  2,168,773.52 ","  8,005,639.55 ","  105,646.15 ",  -   ,"  3,454,206.75 ",  -   ,  -   ,  -   ,  -   ,"  35,377.07 ","  119,103.86 ",  -   ,  -   ,"  741,061.00 ",  -   ,"  15,180,508.38 ","  13,786,631.00 ",  -   ,"  13,786,631.00 ","  29,215,209.44 "
  646 , อบต.หนองเม็ก, หนองสองห้อง, ขอนแก่น,  34.13 ,"  8,043.00 ","  2,546.88 ",  -   ,  -   ,"  58,734.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  253,627.00 ","  196,299.16 ",  -   ,"  262,000.00 ","  773,207.04 ","  701,412.95 ",  -   ,"  3,809,377.01 ","  9,081,979.55 ","  185,567.41 ",  -   ,"  6,067,806.92 ",  -   ,  -   ,  -   ,  -   ,"  62,533.99 ","  209,499.72 ",  -   ,  -   ,"  731,819.00 ","  1,940.00 ","  20,851,936.55 ","  24,607,995.00 ",  -   ,"  24,607,995.00 ","  46,233,138.59 "
  647 , อบต.หนองสองห้อง, หนองสองห้อง, ขอนแก่น,  31.07 ,"  6,564.00 ","  22,374.54 ",  -   ,  -   ,"  40,893.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  59,201.90 ","  210,395.60 ",  -   ,  10.00 ,"  332,875.04 ","  638,237.66 ",  -   ,"  3,122,256.32 ","  8,718,321.34 ","  152,095.65 ",  -   ,"  4,973,348.25 ",  -   ,  -   ,  -   ,  -   ,"  51,273.04 ","  171,724.93 ",  -   ,  -   ,"  1,297,569.00 ",  -   ,"  19,124,826.19 ","  17,749,267.00 ","  25,182.00 ","  17,774,449.00 ","  37,232,150.23 "
  648 , อบต.หันโจด, หนองสองห้อง, ขอนแก่น,  33.40 ,"  4,143.00 ",  982.64 ,  -   ,  -   ,"  1,190.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  6,576.60 ","  332,559.07 ",  -   ,"  158,460.00 ","  499,768.31 ","  532,931.07 ",  -   ,"  1,974,776.87 ","  8,099,511.29 ","  96,194.69 ",  -   ,"  3,144,986.97 ",  -   ,  -   ,  -   ,  -   ,"  32,056.34 ","  108,332.27 ",  -   ,  -   ,"  416,462.00 ",  -   ,"  14,405,251.50 ","  11,733,216.00 ","  45,624.00 ","  11,778,840.00 ","  26,683,859.81 "
  649 , อบต.เขื่อนอุบลรัตน์, อุบลรัตน์, ขอนแก่น,  87.60 ,"  3,387.00 ","  3,766.18 ",  -   ,  -   ,"  16,240.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  26,128.60 ","  134,983.92 ",  -   ,"  2,560.00 ","  183,678.70 ","  500,055.51 ",  -   ,"  1,627,100.52 ","  8,816,915.82 ","  79,275.49 ",  -   ,"  2,594,162.25 ",  -   ,  -   ,  -   ,  -   ,"  28,276.78 ","  90,663.91 ","  9,436.40 ",  -   ,"  198,932.00 ",  -   ,"  13,944,818.68 ","  9,500,724.49 ","  4,226,008.80 ","  13,726,733.29 ","  27,855,230.67 "
  650 , อบต.ทุ่งโป่ง, อุบลรัตน์, ขอนแก่น,  42.00 ,"  5,317.00 ","  19,089.10 ",  -   ,  -   ,"  35,829.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  31,575.70 ","  228,551.69 ","  299,847.00 ","  150,570.00 ","  765,462.49 ","  582,397.27 ",  -   ,"  2,513,724.36 ","  8,195,932.99 ","  122,450.13 ",  -   ,"  4,003,711.68 ",  -   ,  -   ,  -   ,  -   ,"  41,069.76 ","  138,097.31 ","  9,436.41 ",  -   ,"  936,666.00 ",  -   ,"  16,543,485.91 ","  16,818,113.07 ","  48,997.00 ","  16,867,110.07 ","  34,176,058.47 "
  651 , อบต.บ้านดง, อุบลรัตน์, ขอนแก่น,  96.00 ,"  10,511.00 ","  88,978.51 ",  -   ,  282.94 ,"  195,159.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  336,087.60 ","  202,255.26 ",  -   ,"  217,575.22 ","  1,040,338.53 ","  809,906.68 ",  -   ,"  4,989,041.84 ","  9,950,261.26 ","  243,031.89 ",  -   ,"  7,946,691.48 ",  -   ,  -   ,  -   ,  -   ,"  81,797.35 ","  274,299.56 ",  879.35 ,  510.00 ,"  1,177,549.00 ",  250.00 ,"  25,474,218.41 ","  32,494,665.96 ","  245,511.00 ","  32,740,176.96 ","  59,254,733.90 "
  652 , อบต.ศรีสุขสำราญ, อุบลรัตน์, ขอนแก่น,  87.00 ,"  5,578.00 ","  1,884.50 ",  162.00 ,  179.78 ,  800.00 ,  -   ,  -   ,  -   ,  -   ,  -   ,"  12,034.80 ","  85,455.90 ",  -   ,"  170,310.00 ","  270,826.98 ","  596,673.87 ",  -   ,"  2,668,994.81 ","  8,324,117.05 ","  101,779.60 ",  -   ,"  4,251,026.88 ",  -   ,  -   ,  -   ,  -   ,"  31,454.28 ","  146,632.10 ",  -   ,  -   ,"  215,428.00 ","  10,276.02 ","  16,346,382.61 ","  14,948,268.00 ",  -   ,"  14,948,268.00 ","  31,565,477.59 "
  653 , อบจ.จันทบุรี, เมืองจันทบุรี, จันทบุรี,,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"  29,875,295.82 ","  12,561,331.83 ","  1,565,461.96 ","  616,745.00 ","  10,887,598.34 ",  -   ,"  472,465.71 ","  55,978,898.66 ","  255,373,515.75 ","  25,682,408.66 ",  -   ,"  96,629,688.99 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"  1,740,016.80 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  379,425,630.20 ","  166,358,200.00 ",  -   ,"  166,358,200.00 ","  601,762,728.86 "
  654 , เทศบาลเมืองขลุง, ขลุง, จันทบุรี,  3.18 ,"  10,877.00 ","  245,058.49 ",  -   ,  -   ,"  719,475.00 ","  36,510.00 ",  -   ,  -   ,  -   ,  -   ,"  4,185,725.22 ","  4,123,059.51 ","  804,807.04 ","  432,198.00 ","  10,546,833.26 ","  1,073,763.39 ",  -   ,"  4,403,433.31 ","  23,138,293.13 ","  41,302.63 ",  -   ,"  8,272,143.73 ",  -   ,  -   ,  -   ,  -   ,"  95,174.13 ","  73,539.58 ",  -   ,  -   ,"  1,553,596.00 ",  -   ,"  38,651,245.90 ","  89,279,799.00 ","  27,130,330.60 ","  116,410,129.60 ","  165,608,208.76 "
  655 , เทศบาลเมืองท่าใหม่, ท่าใหม่, จันทบุรี,  30.40 ,"  10,172.00 ","  133,883.84 ","  57,015.00 ","  9,534.28 ","  459,742.00 ","  330,750.00 ",  -   ,  -   ,  -   ,  -   ,"  1,018,065.70 ","  3,236,532.39 ",  -   ,"  975,155.99 ","  6,220,679.20 ","  1,025,307.08 ",  -   ,"  4,083,679.32 ","  42,091,305.27 ","  38,166.63 ",  -   ,"  7,670,959.49 ",  -   ,  -   ,  -   ,  -   ,"  87,947.81 ","  68,142.07 ",  -   ,  -   ,"  2,976,593.00 ",  -   ,"  58,042,100.67 ","  83,397,588.80 ","  20,035,761.75 ","  103,433,350.55 ","  167,696,130.42 "
  656 , เทศบาลเมืองจันทนิมิต, เมืองจันทบุรี, จันทบุรี,  7.10 ,"  12,283.00 ","  907,359.40 ","  2,230.00 ",  121.90 ,"  3,585,586.00 ","  129,690.00 ",  -   ,  -   ,  -   ,  -   ,"  2,821,874.18 ","  416,202.93 ",  -   ,"  41,243.18 ","  7,904,307.59 ","  1,163,753.72 ",  -   ,"  4,995,589.71 ","  27,070,336.65 ","  46,919.58 ",  -   ,"  9,384,780.61 ",  -   ,  -   ,  -   ,  -   ,"  108,117.34 ","  83,455.17 ",  -   ,  -   ,"  5,867,371.00 ",  -   ,"  48,720,323.78 ","  42,647,574.00 ","  1,100,697.00 ","  43,748,271.00 ","  100,372,902.37 "
